L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,real
0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,real
0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,real
1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,real
0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,real
1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,real
1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,real
0.989130112,0.436564125,0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,real
0.94751136,0.436564125,0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,real
0.909872987,0.48507125,0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,real
0.94751136,0.48308615,0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,real
0.94751136,0.48308615,0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,real
0.955618934,0.491188737,0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,real
